date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",315934,3656147.16,0,0
2021-02-01,Y62,"NORTH WEST COMMISSIONING REGION",372463,3576835.87,0,0
2021-02-01,Y60,"MIDLANDS COMMISSIONING REGION",446779,4845867.86,0,0
2021-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",448616,4017487.79,0,0
2021-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",251061,2770431.64,0,0
2021-03-01,Y56,"LONDON COMMISSIONING REGION",283782,3210226.59,0,0
2021-03-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",296427,2996807.71,0,0
2021-03-01,Y59,"SOUTH EAST COMMISSIONING REGION",352347,4138898.79,0,0
2021-03-01,Y62,"NORTH WEST COMMISSIONING REGION",419270,4010964,0,0
2021-03-01,Y60,"MIDLANDS COMMISSIONING REGION",498027,5417628.19,0,0
2021-03-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",505713,4542320.79,0,0
2021-04-01,Y58,"SOUTH WEST COMMISSIONING REGION",246278,2725873.09,0,0
2021-04-01,Y56,"LONDON COMMISSIONING REGION",273983,3129987.98,0,0
2021-04-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",288615,2938795.65,0,0
2021-04-01,Y59,"SOUTH EAST COMMISSIONING REGION",341307,4023829.05,0,0
2021-04-01,Y62,"NORTH WEST COMMISSIONING REGION",408654,3994741.17,0,0
2021-04-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",488331,4452165.61,0,0
2021-04-01,Y60,"MIDLANDS COMMISSIONING REGION",492248,5423538.53,0,0
2021-05-01,Y58,"SOUTH WEST COMMISSIONING REGION",235686,2626135.5,0,0
2021-05-01,Y56,"LONDON COMMISSIONING REGION",264802,3004984.82,0,0
2021-05-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",278025,2843327.37,0,0
2021-05-01,Y59,"SOUTH EAST COMMISSIONING REGION",329213,3919242.37,0,0
2021-05-01,Y62,"NORTH WEST COMMISSIONING REGION",386149,3741069.61,0,0
2021-05-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",465606,4222435.23,0,0
